ID	seqnames	type	start	end	strand	likelyStrand	Parent	length	ORFnumber	nearest_ref_gene	nearest_ref_ensembl_transcriptID	exonNumber	exonHits	exactAnnotated	partialAnnotated	geneID	gene_type	genelevel	gene_name	ensembl_transcriptID	transcript_type	transcript_support_level	LTR/repClass	LTR/repName	LTR/repeatIDs	repClass	repeatIDs	LTRderived	spansRTErepeat	summaryAnnotation
trans037aed148866f2df	chr12	transcript	103772311	103774797	*	NA	NA	2074	NA	NT5DC3	ENST00000392876.7	3	2458690;2458693;2458702	0	3	ENSG00000111696.11	protein_coding	level 2	 NT5DC3	ENST00000392876.7	protein_coding	1	ERVL	LTR16A	LTR/ERVL|LTR16A|12|103772532|103772950	LTR;SINE	LTR/ERVL|LTR16A|12|103772532|103772950;SINE/Alu|AluSq2|12|103774400|103774705;SINE/Alu|AluSx|12|103774726|103775029	TRUE	TRUE	partial
trans03aa0c2311871900	chr16	transcript	51115443	51134919	*	NA	NA	2013	1	NA	NA	3	2979130;2979137;2979146	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR	MLT1C2	LTR/ERVL-MaLR|MLT1C2|16|51126744|51127126	LTR	LTR/ERVL-MaLR|MLT1C2|16|51126744|51127126	TRUE	TRUE	unannotated
trans03c554bc64386317	chr1	transcript	206035113	206061911	*	NA	NA	8179	3	C1orf186	ENST00000331555.9	5	345105;345130;345144;345165;345173	0	1	NA	NA	NA	 C1orf186	NA	NA	NA	ERV1	Harlequin-int~LTR2B	LTR/ERV1|Harlequin-int~LTR2B|1|206054886|206058912	LTR;SINE	LTR/ERV1|Harlequin-int~LTR2B|1|206054886|206058912;SINE/MIR|MIR3|1|206059614|206059756;SINE/MIR|MIR|1|206060067|206060305	TRUE	TRUE	partial
trans046c84e6e71a5602	chr16	transcript	74436238	74436990	*	NA	NA	753	NA	RP11-252A24.5	ENST00000567148.1	1	3025232	0	0	NA	NA	NA	 RP11-252A24.5	NA	NA	NA	ERVL-MaLR	MLT1A1	LTR/ERVL-MaLR|MLT1A1|16|74436515|74436901	SINE;LINE;LTR	SINE/Alu|AluSg|16|74435967|74436265;LINE/L1|L1MEf|16|74436268|74436514;LTR/ERVL-MaLR|MLT1A1|16|74436515|74436901;SINE/Alu|AluSc|16|74436914|74437204	TRUE	TRUE	unannotated
trans04bac9f2d3d472f4	chr12	transcript	121184956	121193090	*	NA	NA	1098	NA	P2RX7	ENST00000328963.9	2	2490794;2490832	0	1	ENSG00000089041.16	protein_coding	level 2	 P2RX7	ENST00000328963.9	protein_coding	1	ERVL-MaLR	MLT1H1	LTR/ERVL-MaLR|MLT1H1|12|121185542|121185773	SINE;LTR	SINE/Alu|AluSz6|12|121184804|121185094;SINE/MIR|MIRc|12|121185280|121185475;LTR/ERVL-MaLR|MLT1H1|12|121185542|121185773;SINE/Alu|AluSx1|12|121185774|121186075;SINE/Alu|AluSc8|12|121192811|121193112	TRUE	TRUE	partial
trans05b0924469c3296b	chr18	transcript	10670603	10676113	-	-	NA	2266	2	PIEZO2	ENST00000580640.5	3	3296414;3296422;3296431	1	3	ENSG00000154864.11	protein_coding	level 2	 PIEZO2	ENST00000302079.10;ENST00000503781.7	protein_coding	1;5	ERVL-MaLR	THE1B	LTR/ERVL-MaLR|THE1B|18|10675686|10676055	LTR	LTR/ERVL-MaLR|THE1B|18|10675686|10676055	TRUE	TRUE	partial
trans05f6b15fe1afd886	chr19	transcript	20426125	20430827	*	NA	NA	4703	1	NA	NA	1	3442013	0	0	NA	NA	NA	NA	NA	NA	NA	ERV1	Harlequin-int~LTR2B	LTR/ERV1|Harlequin-int~LTR2B|19|20426124|20430123	LTR	LTR/ERV1|Harlequin-int~LTR2B|19|20426124|20430123	TRUE	TRUE	unannotated
trans0600a42bd375e312	chr6	transcript	156896477	156906661	*	NA	NA	210	NA	ARID1B	ENST00000346085.9	4	1389992;1389993;1390010;1390015	0	0	NA	NA	NA	 ARID1B	NA	NA	NA	ERV1	MER90	LTR/ERV1|MER90|6|156906575|156906628	SINE;LTR	SINE/Alu|AluSq|6|156896295|156896598;SINE/Alu|AluSp|6|156898692|156898985;SINE/Alu|AluSc|6|156902652|156902756;LTR/ERV1|MER90|6|156906575|156906628	TRUE	TRUE	unannotated
trans060a9f22fe4597de	chr7	transcript	3199505	3201814	*	NA	NA	2310	NA	NA	NA	1	1416085	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR	MSTA;THE1D	LTR/ERVL-MaLR|MSTA|7|3199996|3200409;LTR/ERVL-MaLR|THE1D|7|3201535|3201912	SINE;LINE;LTR	SINE/Alu|AluY|7|3199225|3199523;LINE/L1|L1MDa|7|3199524|3199995;LTR/ERVL-MaLR|MSTA|7|3199996|3200409;LINE/L1|L1MDa|7|3200410|3200726;SINE/MIR|MIRc|7|3200852|3200971;LTR/ERVL-MaLR|THE1D|7|3201535|3201912	TRUE	TRUE	unannotated
trans0617f13857062d55	chr11	transcript	77878722	77918202	-	-	NA	1369	1	AAMDC	ENST00000527134.5	9	2249477;2249497;2249536;2249553;2249578;2249608;2249639;2249670;2249696	8	8	ENSG00000149262.16	protein_coding	level 2;level 3	 AAMDC	ENST00000534064.5;ENST00000535943.1	protein_coding	1	ERVL-MaLR	MLT1J	LTR/ERVL-MaLR|MLT1J|11|77917800|77918149	LTR;SINE	LTR/ERVL-MaLR|MLT1J|11|77917800|77918149;SINE/Alu|AluJb|11|77918150|77918439	TRUE	TRUE	partial
trans07b431970ad730e3	chr1	transcript	161512876	161519612	+	+	NA	877	1	FCGR2A	ENST00000271450.10	4	296352;296360;296365;296386	2	3	ENSG00000273112.1	processed_transcript	level 2	 FCGR2A	ENST00000537821.2	processed_transcript	5	ERV1	MER34B-int~MER57F	LTR/ERV1|MER34B-int~MER57F|1|161517820|161518578	LTR	LTR/ERV1|MER34B-int~MER57F|1|161517820|161518578	TRUE	TRUE	partial
trans0a053d1f5c70d94e	chr6	transcript	111284366	111290536	*	NA	NA	197	NA	NA	NA	2	1355046;1355070	0	0	NA	NA	NA	NA	NA	NA	NA	ERV1	Harlequin-int~LTR2B;LTR2B	LTR/ERV1|Harlequin-int~LTR2B|6|111284171|111288188;LTR/ERV1|LTR2B|6|111290145|111290629	LTR	LTR/ERV1|Harlequin-int~LTR2B|6|111284171|111288188;LTR/ERV1|LTR2B|6|111290145|111290629	TRUE	TRUE	unannotated
trans0a9cda3077a02a79	chr12	transcript	127184141	127205998	*	NA	NA	549	NA	NA	NA	2	2508705;2508712	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL	MLT2B3	LTR/ERVL|MLT2B3|12|127205572|127206140	LTR	LTR/ERVL|MLT2B3|12|127205572|127206140	TRUE	TRUE	unannotated
trans0ac9571815ee741d	chr15	transcript	84949621	84950493	*	NA	NA	873	1	NA	NA	1	2835961	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR	MLT1J	LTR/ERVL-MaLR|MLT1J|15|84950325|84950442	SINE;LINE;LTR	SINE/Alu|AluJr|15|84949387|84949710;LINE/CR1|L3|15|84949711|84950317;LTR/ERVL-MaLR|MLT1J|15|84950325|84950442;SINE/Alu|AluJb|15|84950443|84950719	TRUE	TRUE	unannotated
trans0aec9079e249bed8	chr22	transcript	18946350	18947769	*	NA	NA	1420	1	AC007326.1	ENST00000623496.1	1	3734011	0	1	ENSG00000279560.1	protein_coding	level 3	 AC007326.1	ENST00000623496.1	protein_coding	5	ERVK	HERVK-int~LTR5_Hs	LTR/ERVK|HERVK-int~LTR5_Hs|22|18939648|18947848	LTR	LTR/ERVK|HERVK-int~LTR5_Hs|22|18939648|18947848	TRUE	TRUE	partial
trans0b1c32bdf8501fd7	chr16	transcript	66960759	66975148	+	+	NA	4477	2	CES3	ENST00000303334.8	14	2996324;2996347;2996364;2996384;2996391;2996414;2996434;2996454;2996463;2996471;2996488;2996521;2996533;2996555	12	14	ENSG00000172828.12	protein_coding	level 1;level 2	 CES3	ENST00000303334.8;ENST00000543856.1	protein_coding	1;2	ERVL-MaLR;ERV1	MSTB;LTR12E	LTR/ERVL-MaLR|MSTB|16|66960897|66960946;LTR/ERV1|LTR12E|16|66974098|66975386	SINE;LTR;LINE	SINE/Alu|AluJr|16|66960518|66960789;LTR/ERVL-MaLR|MSTB|16|66960897|66960946;SINE/Alu|AluJb|16|66967757|66968058;LINE/L2|L2b|16|66973202|66973538;LTR/ERV1|LTR12E|16|66974098|66975386	TRUE	TRUE	partial
trans0b639842a4f1af9e	chr10	transcript	71300031	71305237	*	NA	NA	5207	3	UNC5B	ENST00000335350.10	1	2017999	0	1	ENSG00000107731.12	protein_coding	level 2	 UNC5B	ENST00000335350.10	protein_coding	1	ERV1	LTR78B	LTR/ERV1|LTR78B|10|71305172|71305450	SINE;LINE;LTR	SINE/MIR|MIR3|10|71301677|71301779;SINE/MIR|MIR3|10|71302959|71303077;SINE/MIR|MIR3|10|71304417|71304581;LINE/L1|L1ME4b|10|71304938|71305171;LTR/ERV1|LTR78B|10|71305172|71305450	TRUE	TRUE	partial
trans0bba9ebcf68e9288	chr17	transcript	82756164	82769634	+	+	NA	1467	1	TBCD	ENST00000539345.6	4	3284144;3284178;3284189;3284205	2	4	ENSG00000141556.20	protein_coding	level 2	 TBCD	ENST00000355528.8	protein_coding	1	ERVL-MaLR	MLT1F2	LTR/ERVL-MaLR|MLT1F2|17|82769039|82769413	LTR;SINE	LTR/ERVL-MaLR|MLT1F2|17|82769039|82769413;SINE/Alu|AluSg|17|82769595|82769895	TRUE	TRUE	partial
trans0bde836f7f84d193	chr4	transcript	25726878	25730026	*	NA	NA	243	NA	NA	NA	2	951011;951019	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR	MLT1B	LTR/ERVL-MaLR|MLT1B|4|25726807|25727046	LTR;SINE	LTR/ERVL-MaLR|MLT1B|4|25726807|25727046;SINE/Alu|AluSc8|4|25727049|25727347;SINE/Alu|AluSq|4|25729959|25730222	TRUE	TRUE	unannotated
trans0c96ce77285fb9af	chrUn_KI270744v1	transcript	337	6731	*	NA	NA	1026	NA	NA	NA	2	3980451;3980458	0	0	NA	NA	NA	NA	NA	NA	NA	ERV1	MER61C	LTR/ERV1|MER61C|KI270744.1|6076|6503	LTR	LTR/ERV1|MER61C|KI270744.1|6076|6503	TRUE	TRUE	unannotated
trans0cbab65b24cac08b	chr21	transcript	34747960	34784610	+	+	NA	2425	1	LINC01426	ENST00000420877.1	3	3693745;3693764;3693771	1	2	ENSG00000234380.1	antisense	level 2	 LINC01426	ENST00000420877.1	antisense	2	ERVL-MaLR	THE1B;MLT1C	LTR/ERVL-MaLR|THE1B|21|34781911|34782274;LTR/ERVL-MaLR|MLT1C|21|34783274|34783728	SINE;LTR	SINE/Alu|AluSx1|21|34747761|34748057;LTR/ERVL-MaLR|THE1B|21|34781911|34782274;SINE/MIR|MIR|21|34782467|34782666;LTR/ERVL-MaLR|MLT1C|21|34783274|34783728;SINE/tRNA-RTE|MamSINE1|21|34783848|34784027;SINE/Alu|AluSg|21|34784591|34784888	TRUE	TRUE	partial
trans0eea881ecfea4311	chr1	transcript	143382497	143420207	-	-	NA	585	NA	NA	NA	3	221911;222075;222087	2	2	ENSG00000277702.1	unprocessed_pseudogene	level 2	NA	ENST00000622095.1	unprocessed_pseudogene	NA	ERVL-MaLR	MLT1H1	LTR/ERVL-MaLR|MLT1H1|1|143382425|143382936	LTR	LTR/ERVL-MaLR|MLT1H1|1|143382425|143382936	TRUE	TRUE	partial
trans1128887d9d54ee2f	chrUn_GL000214v1	transcript	56112	56547	*	NA	NA	436	NA	NA	NA	1	3964734	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR	MLT1G1	LTR/ERVL-MaLR|MLT1G1|GL000214.1|56429|56795	LINE;LTR	LINE/L1|L1MA5|GL000214.1|56112|56394;LTR/ERVL-MaLR|MLT1G1|GL000214.1|56429|56795	TRUE	TRUE	unannotated
trans11385bb804f44cf8	chr5	transcript	139526504	139527447	*	NA	NA	831	NA	UBE2D2	ENST00000511725.5	2	1170137;1170139	0	1	ENSG00000131508.15	protein_coding	level 2	 UBE2D2	ENST00000511725.5	protein_coding	2	ERV1	Harlequin-int~LTR2B	LTR/ERV1|Harlequin-int~LTR2B|5|139525866|139526720;LTR/ERV1|Harlequin-int~LTR2B|5|139526721|139531564	LTR	LTR/ERV1|Harlequin-int~LTR2B|5|139525866|139526720;LTR/ERV1|Harlequin-int~LTR2B|5|139526721|139531564	TRUE	TRUE	partial
trans1251052fd8862dc6	chr7	transcript	99832379	99832874	*	NA	NA	152	NA	CYP3A43	ENST00000354829.6	2	1534779;1534780	0	0	NA	NA	NA	 CYP3A43	NA	NA	NA	ERVL-MaLR	THE1D	LTR/ERVL-MaLR|THE1D|7|99832270|99832446;LTR/ERVL-MaLR|THE1D|7|99832703|99832943	LTR	LTR/ERVL-MaLR|THE1D|7|99832270|99832446;LTR/ERVL-MaLR|THE1D|7|99832703|99832943	TRUE	TRUE	unannotated
trans12b28f0ac30834d1	chr14	transcript	50895407	50905240	+	+	NA	2251	NA	ABHD12B	ENST00000337334.6	3	2637046;2637081;2637112	1	2	ENSG00000131969.14	protein_coding	level 2	 ABHD12B	ENST00000353130.5	protein_coding	1	ERV1;ERVL-MaLR	HERVH-int~LTR7;MLT1A0	LTR/ERV1|HERVH-int~LTR7|14|50893162|50896881;LTR/ERVL-MaLR|MLT1A0|14|50904682|50905016	LTR	LTR/ERV1|HERVH-int~LTR7|14|50893162|50896881;LTR/ERVL-MaLR|MLT1A0|14|50904682|50905016	TRUE	TRUE	partial
trans12ff73ec11df5166	chr6	transcript	126336667	126348607	+	+	NA	3989	1	CENPW	ENST00000368328.4	3	1364998;1365013;1365019	1	3	ENSG00000203760.8	protein_coding	level 2	 CENPW	ENST00000368325.5;ENST00000368328.4	protein_coding	1;3	ERVL-MaLR	MSTC;MLT1A0	LTR/ERVL-MaLR|MSTC|6|126336529|126336954;LTR/ERVL-MaLR|MLT1A0|6|126336955|126337268	LTR;LINE	LTR/ERVL-MaLR|MSTC|6|126336529|126336954;LTR/ERVL-MaLR|MLT1A0|6|126336955|126337268;LINE/L2|L2a|6|126337368|126339338	TRUE	TRUE	partial
trans1308e5f927cde225	chr1	transcript	156630725	156631332	*	NA	NA	608	NA	NA	NA	1	283879	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR	MLT1D	LTR/ERVL-MaLR|MLT1D|1|156630762|156631318	SINE;LINE;LTR	SINE/Alu|AluSx3|1|156630439|156630748;LINE/L1|L1MC5a|1|156630751|156630761;LTR/ERVL-MaLR|MLT1D|1|156630762|156631318;SINE/Alu|AluSp|1|156631322|156631624	TRUE	TRUE	unannotated
trans1445d5e69049a7a8	chr1	transcript	247281170	247286656	*	NA	NA	664	1	NA	NA	2	399094;399110	0	0	NA	NA	NA	NA	NA	NA	NA	ERV1	MER92B;HERVH48-int~MER48	LTR/ERV1|MER92B|1|247280964|247281518;LTR/ERV1|HERVH48-int~MER48|1|247286141|247290862	LTR	LTR/ERV1|MER92B|1|247280964|247281518;LTR/ERV1|HERVH48-int~MER48|1|247286141|247290862	TRUE	TRUE	unannotated
trans14c25b26017f3c57	chr12	transcript	6893975	6895014	*	NA	NA	1040	NA	LRRC23	ENST00000433346.5	1	2324914	0	0	NA	NA	NA	 LRRC23	NA	NA	NA	ERVL-MaLR	MLT1L;THE1D	LTR/ERVL-MaLR|MLT1L|12|6894046|6894271;LTR/ERVL-MaLR|THE1D|12|6894316|6894681	LTR;SINE	LTR/ERVL-MaLR|MLT1L|12|6894046|6894271;LTR/ERVL-MaLR|THE1D|12|6894316|6894681;SINE/Alu|AluJb|12|6894983|6895290	TRUE	TRUE	unannotated
trans14ece0e77c4865ae	chr9	transcript	13406100	13433095	-	-	NA	2771	NA	LINC01235	ENST00000604724.5	4	1766231;1766239;1766249;1766257	1	2	ENSG00000270547.5	lincRNA	level 2	 LINC01235	ENST00000604724.5	lincRNA	2	ERVL-MaLR	MLT1I	LTR/ERVL-MaLR|MLT1I|9|13408164|13408519	SINE;LTR	SINE/5S-Deu-L2|AmnSINE1|9|13407370|13407488;SINE/Alu|AluSp|9|13407596|13407786;LTR/ERVL-MaLR|MLT1I|9|13408164|13408519	TRUE	TRUE	partial
trans14fc6d5194ed0774	chr19	transcript	8364143	8390701	*	*	NA	2921	1	ANGPTL4	ENST00000301455.6	9	3383640;3383650;3383672;3383693;3383711;3383727;3383762;3383802;3383882	6	9	ENSG00000167772.11;ENSG00000185236.11;ENSG00000269386.5	antisense;protein_coding	level 2	 ANGPTL4	ENST00000301455.6;ENST00000328024.10;ENST00000593581.5	antisense;protein_coding	1	ERV1	LTR12C	LTR/ERV1|LTR12C|19|8375578|8377019	SINE;LTR	SINE/Alu|AluSx4|19|8374493|8374789;LTR/ERV1|LTR12C|19|8375578|8377019;SINE/Alu|AluYk3|19|8377022|8377086	TRUE	TRUE	partial
trans159739e8fbf170ae	chr12	transcript	52019863	52090080	*	NA	NA	613	NA	NR4A1	ENST00000545748.5	4	2387426;2387442;2387444;2387710	0	0	NA	NA	NA	 NR4A1	NA	NA	NA	ERVL-MaLR	MLT1C2	LTR/ERVL-MaLR|MLT1C2|12|52089620|52089963	SINE;LTR	SINE/Alu|AluSx|12|52019707|52020006;SINE/Alu|AluJb|12|52027920|52028228;SINE/Alu|AluJb|12|52089313|52089615;LTR/ERVL-MaLR|MLT1C2|12|52089620|52089963;SINE/Alu|AluSx|12|52090065|52090382	TRUE	TRUE	unannotated
trans15bf4eec622d54e3	chr17	transcript	36064382	36073404	+	+	NA	2594	NA	CCL18	ENST00000616054.1	3	3145348;3145352;3145353	1	3	ENSG00000275385.1	protein_coding	level 2	 CCL18	ENST00000616054.1	protein_coding	1	ERVL-MaLR;ERVL	MLT1K-int;MLT2B3	LTR/ERVL-MaLR|MLT1K-int|17|36071877|36071990;LTR/ERVL-MaLR|MLT1K-int|17|36072148|36072275;LTR/ERVL-MaLR|MLT1K-int|17|36072450|36072803;LTR/ERVL|MLT2B3|17|36072804|36073389;LTR/ERVL-MaLR|MLT1K-int|17|36073390|36074286	LTR	LTR/ERVL-MaLR|MLT1K-int|17|36071877|36071990;LTR/ERVL-MaLR|MLT1K-int|17|36072148|36072275;LTR/ERVL-MaLR|MLT1K-int|17|36072450|36072803;LTR/ERVL|MLT2B3|17|36072804|36073389;LTR/ERVL-MaLR|MLT1K-int|17|36073390|36074286	TRUE	TRUE	partial
trans15fdad9b65932c27	chr6	transcript	111284140	111290529	*	NA	NA	416	NA	NA	NA	3	1355038;1355056;1355069	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR;ERV1	THE1B~THE1B-int;Harlequin-int~LTR2B;LTR2B	LTR/ERVL-MaLR|THE1B~THE1B-int|6|111282792|111284170;LTR/ERV1|Harlequin-int~LTR2B|6|111284171|111288188;LTR/ERV1|LTR2B|6|111290145|111290629	LTR	LTR/ERVL-MaLR|THE1B~THE1B-int|6|111282792|111284170;LTR/ERV1|Harlequin-int~LTR2B|6|111284171|111288188;LTR/ERV1|LTR2B|6|111290145|111290629	TRUE	TRUE	unannotated
trans161444d8518c8f3d	chr14	transcript	91578483	91578792	*	NA	NA	269	NA	NA	NA	2	2686513;2686515	0	0	NA	NA	NA	NA	NA	NA	NA	ERV1	LTR12C	LTR/ERV1|LTR12C|14|91577778|91579391	LTR	LTR/ERV1|LTR12C|14|91577778|91579391	TRUE	TRUE	unannotated
trans16c6a88edd7e550a	chr14	transcript	19306868	19333814	*	NA	NA	357	NA	BMS1P17	ENST00000413661.1	2	2593176;2593347	0	2	ENSG00000228294.6;ENSG00000244306.9	transcribed_processed_pseudogene;transcribed_unprocessed_pseudogene	level 2	 BMS1P17	ENST00000413661.1;ENST00000610531.1	processed_transcript	1;2	ERV1	PABL_A	LTR/ERV1|PABL_A|14|19306875|19307073	LTR;LINE	LTR/ERV1|PABL_A|14|19306875|19307073;LINE/L1|L1MA6|14|19333336|19334236	TRUE	TRUE	partial
trans16cb9e3d5da28be8	chr20	transcript	408031	410763	+	+	NA	1246	2	RBCK1	ENST00000475269.5	3	3562727;3562759;3562768	1	3	ENSG00000125826.19	protein_coding	level 2	 RBCK1	ENST00000356286.9;ENST00000475269.5	protein_coding	1	ERVL-MaLR	MLT1J	LTR/ERVL-MaLR|MLT1J|20|410265|410665	LTR	LTR/ERVL-MaLR|MLT1J|20|410265|410665	TRUE	TRUE	partial
trans1717baa28e0a0256	chr7	transcript	143721662	143836778	*	NA	NA	1951	2	TCAF2	ENST00000411935.5	2	1596686;1596840	0	2	ENSG00000170379.19;ENSG00000253882.6	protein_coding;transcribed_unprocessed_pseudogene	level 2	 TCAF2	ENST00000444908.6;ENST00000481651.1	processed_transcript;protein_coding	1	ERV1	LTR45C	LTR/ERV1|LTR45C|7|143721569|143721962	LTR	LTR/ERV1|LTR45C|7|143721569|143721962	TRUE	TRUE	partial
trans17654261eb879319	chr16	transcript	20458752	20460151	*	NA	NA	1400	NA	ACSM2A	ENST00000575690.5	1	2923394	0	1	NA	NA	NA	 ACSM2A	NA	NA	NA	ERVL-MaLR;ERVL	MLT1I;LTR67B	LTR/ERVL-MaLR|MLT1I|16|20459405|20459711;LTR/ERVL|LTR67B|16|20459812|20460046	LINE;LTR	LINE/L1|L1PB1|16|20458935|20459275;LTR/ERVL-MaLR|MLT1I|16|20459405|20459711;LTR/ERVL|LTR67B|16|20459812|20460046	TRUE	TRUE	partial
